date,week
2019-11-02,WE_0
2019-11-06,WD_0
2019-11-07,WD_0
2019-11-08,WD_0
2019-11-12,WD_0
2019-11-13,WD_0
2019-11-14,WD_0
2019-11-16,WE_0
2019-12-20,WD_0
2019-12-21,WE_0
2019-12-21,WE_0
2019-12-22,WE_0
2019-12-23,WD_0
2019-12-24,WD_0
2019-12-25,WD_0
2019-12-28,WE_0
2019-12-29,WE_0
2019-12-30,WD_0
2019-12-31,WD_0
2020-01-01,WD_0
2020-01-02,WD_0
2020-01-04,WE_0
2020-01-06,WD_0
2020-01-07,WD_0
2020-01-08,WD_0
2020-01-09,WD_0
2020-01-10,WD_0
2020-01-11,WE_0
2020-01-13,WD_0
2020-01-14,WD_0
2020-01-15,WD_0
2020-01-16,WD_0
2020-01-17,WD_0
2020-01-18,WE_0
2020-01-19,WE_0
2020-01-20,WD_0
2020-01-21,WD_0
2020-01-22,WD_0
2020-01-23,WD_0
2020-01-25,WE_0
2020-01-26,WE_0
2020-01-28,WD_0
2020-01-29,WD_0
2020-01-30,WD_0
2020-01-31,WD_0
2020-02-01,WE_0
2020-02-02,WE_0
2020-02-03,WD_0
2020-02-04,WD_0
2020-02-05,WD_0
2020-02-06,WD_0
2020-02-07,WD_0
2020-02-09,WE_0
2020-02-10,WD_0
2020-02-11,WD_0
2020-02-12,WD_0
2020-02-13,WD_0
2020-02-15,WE_0
2020-02-16,WE_0
2020-02-18,WD_0
2020-02-19,WD_0
2020-02-21,WD_0
2020-02-27,WD_0
2020-03-05,WD_0
2020-03-06,WD_0
2020-03-07,WE_0
2020-03-08,WE_0
2020-03-09,WD_0
2020-03-22,WE_0
2020-03-23,WD_0
2020-03-24,WD_0
2020-03-26,WD_0
2020-03-29,WE_0
2020-03-30,WD_0
