date,week
2024-05-02,WD_0
2024-04-30,WD_0
2024-04-29,WD_0
2024-04-28,WE_0
2024-04-27,WE_0
2024-04-11,WD_0
2024-04-10,WD_0
2024-04-09,WD_0
2024-04-08,WD_0
2024-04-07,WE_0
2024-04-06,WE_0
2024-04-05,WD_0
2024-03-12,WD_0
2024-03-11,WD_0
2024-03-10,WE_0
2024-03-09,WE_0
2024-03-08,WD_0
2024-03-05,WD_0
2024-03-04,WD_0
2024-03-03,WE_0
2024-03-02,WE_0
2024-02-26,WD_0
2024-02-24,WE_0
2024-02-23,WD_0
2024-02-22,WD_0
2024-02-21,WD_0
2024-02-20,WD_0
2024-02-19,WD_0
2024-02-17,WE_0
2024-02-16,WD_0
2024-02-15,WD_0
2024-02-14,WD_0
2024-02-13,WD_0
2024-02-12,WD_0
2024-02-11,WE_0
2023-12-31,WE_0
2023-12-30,WE_0
2023-12-29,WD_0
2023-12-28,WD_0
2023-12-27,WD_0
2023-12-26,WD_0
2023-12-26,WD_0
2023-12-25,WD_0
2023-12-23,WE_0
2023-12-19,WD_0
2023-12-18,WD_0
2023-12-17,WE_0
2023-12-16,WE_0
2023-12-15,WD_0
2023-12-14,WD_0
2023-12-13,WD_0
2023-12-12,WD_0
2023-12-11,WD_0
2023-12-10,WE_0
2023-12-09,WE_0
2023-12-07,WD_0
2023-12-06,WD_0
2023-12-05,WD_0
2023-12-04,WD_0
2023-12-02,WE_0
2023-11-30,WD_0
2023-11-22,WD_0
2023-11-21,WD_0
2023-11-20,WD_0
2023-11-19,WE_0
2023-11-18,WE_0
2023-11-17,WD_0
2023-11-16,WD_0
2023-11-15,WD_0
2023-11-14,WD_0
2023-11-12,WE_0
2023-11-11,WE_0
2023-11-10,WD_0
2023-11-09,WD_0
2023-11-08,WD_0
2023-11-07,WD_0
2023-11-06,WD_0
2023-11-05,WE_0
2023-11-04,WE_0
2023-11-02,WD_0
2023-10-31,WD_0
2023-10-30,WD_0
2023-10-29,WE_0
2023-10-28,WE_0
2023-10-27,WD_0
2023-10-26,WD_0
2023-10-25,WD_0
2023-10-24,WD_0
2023-10-23,WD_0
2023-10-22,WE_0
2023-10-20,WD_0
2023-10-19,WD_0
2023-10-18,WD_0
2023-10-17,WD_0
2023-10-16,WD_0
2023-10-15,WE_0
2023-10-14,WE_0
2023-10-13,WD_0
2023-10-12,WD_0
2023-10-11,WD_0
2023-10-10,WD_0
2023-10-09,WD_0
2023-10-08,WE_0
2023-10-07,WE_0
2023-10-06,WD_0
2023-10-05,WD_0
2023-10-04,WD_0
2023-10-03,WD_0
2023-10-02,WD_0
2023-10-01,WE_0
2023-08-17,WD_0
2023-06-26,WD_0
2023-06-13,WD_0
2023-06-12,WD_0
2023-06-10,WE_0
2023-06-08,WD_0
2023-06-07,WD_0
2023-06-04,WE_0
2023-06-02,WD_0
2023-06-01,WD_0
2023-05-31,WD_0
2023-05-30,WD_0
2023-05-29,WD_0
2023-05-28,WE_0
2023-05-27,WE_0
2023-05-26,WD_0
