date,sleep_quality,light,moderate,heavy,rest
2021-11-28,57,14,0,0,1127
2021-11-30,72,398,23,9,543
2021-12-01,72,425,0,0,620
2021-12-02,67,234,12,0,696
2021-12-03,82,204,0,0,742
2021-12-04,80,318,64,119,441
2021-12-05,74,176,61,130,412
2021-12-06,77,177,19,22,759
2021-12-07,72,261,16,14,639
2021-12-08,81,256,47,98,330
2021-12-09,85,275,70,118,355
2021-12-10,78,289,33,17,626
2021-12-11,83,291,68,125,254
2021-12-12,75,249,75,136,447
2021-12-13,76,249,0,0,799
2021-12-14,79,322,61,15,533
2021-12-15,67,430,137,99,338
2021-12-16,62,279,30,11,699
2021-12-17,89,239,19,4,619
2021-12-18,79,268,43,80,451
2021-12-19,82,179,51,77,546
2021-12-20,79,278,0,0,685
2021-12-21,81,269,36,13,644
2021-12-22,79,210,14,32,737
2021-12-23,81,354,4,7,590
2021-12-24,83,317,81,118,196
2021-12-25,68,190,5,15,742
2021-12-26,75,181,62,87,524
2021-12-27,77,225,6,2,759
2021-12-28,83,311,49,60,548
2021-12-29,70,264,25,11,691
2021-12-30,83,221,0,0,748
2021-12-31,83,229,6,8,714
2022-01-01,68,234,20,51,536
2022-01-02,82,207,111,130,442
2022-01-03,76,286,26,51,498
2022-01-04,88,194,75,119,455
2022-01-05,84,290,30,35,280
2022-01-06,72,220,62,121,486
2022-01-07,82,244,60,118,311
2022-01-08,75,271,46,107,548
2022-01-09,76,222,44,113,486
2022-01-10,69,340,57,19,577
2022-01-11,77,339,26,10,589
2022-01-12,76,293,11,2,624
2022-01-13,80,285,81,34,519
2022-01-14,79,337,12,3,564
2022-01-15,77,243,56,126,513
2022-01-16,68,174,74,125,351
2022-01-17,80,312,39,42,535
2022-01-18,76,340,40,17,553
2022-01-19,80,315,23,63,530
2022-01-20,71,389,43,28,578
2022-01-21,74,250,16,33,655
2022-01-22,79,246,98,138,485
2022-01-23,67,168,68,146,634
2022-01-24,77,292,31,20,611
2022-01-25,71,149,2,13,777
2022-01-26,74,330,66,94,506
2022-01-27,72,341,20,46,573
2022-01-28,72,388,59,49,484
2022-01-29,76,352,74,108,383
2022-01-31,78,374,102,89,431
2022-02-01,74,275,17,1,686
2022-02-02,75,275,4,12,710
2022-02-03,64,243,138,173,449
2022-02-04,64,373,59,97,718
2022-02-06,65,174,123,152,404
2022-02-07,74,279,40,11,610
2022-02-08,84,337,59,56,517
2022-02-09,75,292,21,50,628
2022-02-10,67,277,46,30,791
2022-02-11,66,294,5,9,632
2022-02-12,75,260,63,110,461
2022-02-14,76,239,0,0,772
2022-02-15,75,201,0,0,834
2022-02-16,71,395,29,24,742
2022-02-17,70,344,52,73,576
2022-02-18,85,338,19,38,487
2022-02-19,80,353,55,115,328
2022-02-20,84,216,81,137,424
2022-02-21,75,222,7,24,750
2022-02-22,83,291,68,50,574
2022-02-23,70,341,47,52,696
2022-02-24,77,301,89,43,551
2022-02-25,71,144,0,0,739
2022-02-26,83,197,51,87,336
2022-02-27,75,303,63,100,312
2022-02-28,77,353,7,3,577
2022-03-01,76,276,8,11,771
2022-03-02,76,250,15,26,633
2022-03-03,80,228,5,4,764
2022-03-04,78,234,4,5,693
2022-03-05,84,288,42,117,378
2022-03-07,80,231,5,6,710
2022-03-08,74,358,7,23,535
2022-03-09,75,275,0,0,749
2022-03-10,76,359,61,64,511
2022-03-11,84,243,2,8,715
2022-03-12,75,261,52,121,586
2022-03-13,76,164,79,116,578
2022-03-13,52,164,79,116,578
2022-03-14,70,280,8,0,702
2022-03-15,79,317,62,53,525
2022-03-16,74,335,0,0,679
2022-03-17,77,247,9,0,714
2022-03-18,74,271,6,20,630
2022-03-19,76,466,54,138,299
2022-03-20,79,235,65,115,459
2022-03-21,79,200,0,0,856
2022-03-22,79,264,78,81,519
2022-03-23,79,384,16,13,577
2022-03-24,76,344,67,79,506
2022-03-25,76,260,14,17,672
2022-03-26,78,271,77,105,474
2022-03-27,84,172,79,105,391
2022-03-28,81,228,0,0,753
2022-03-29,82,342,10,13,608
2022-03-30,78,234,0,0,834
2022-03-31,76,275,6,9,831
2022-04-01,75,223,20,10,703
2022-04-02,81,289,85,123,391
2022-04-03,79,226,66,124,350
2022-04-04,72,302,49,49,594
2022-04-05,75,380,22,13,617
2022-04-06,71,232,19,27,731
2022-04-08,77,218,10,1,776
2022-04-09,79,365,78,133,421
2022-04-10,83,99,69,69,666
2022-04-11,79,338,33,28,289
2022-04-12,75,288,43,25,639
2022-04-13,75,335,38,33,604
2022-04-14,77,248,18,28,730
2022-04-15,68,311,33,25,706
2022-04-16,70,248,69,102,654
2022-04-17,88,101,18,42,721
2022-04-18,87,233,87,116,333
2022-04-19,82,322,26,45,494
2022-04-20,81,220,7,20,749
2022-04-21,74,397,34,40,542
2022-04-22,79,200,14,3,820
2022-04-23,73,329,23,42,470
2022-04-25,79,247,26,44,424
2022-04-25,59,247,26,44,424
2022-04-26,75,199,12,16,783
2022-04-27,74,252,0,0,772
2022-04-28,77,318,20,24,640
2022-04-29,72,366,8,3,656
2022-04-30,69,257,74,101,497
2022-05-01,80,241,49,65,387
2022-05-02,74,212,43,43,682
2022-05-03,78,314,3,9,623
2022-05-04,75,301,0,0,699
2022-05-05,72,318,15,15,658
2022-05-06,75,179,0,0,804
2022-05-07,77,307,58,104,379
2022-05-08,79,220,63,90,229
2022-05-09,74,398,66,47,449
2022-05-10,77,476,28,24,450
2022-05-11,73,303,30,16,661
2022-05-12,72,247,0,0,759
2022-05-13,78,351,0,0,665
2022-05-14,67,314,24,41,539
2022-05-15,81,215,103,128,364
2022-05-16,75,468,31,12,498
2022-05-17,71,507,7,2,502
2022-05-19,79,200,6,8,802
2022-05-20,64,248,0,0,764
2022-05-21,71,329,143,158,306
2022-05-23,66,296,21,15,652
2022-05-24,71,258,55,54,737
2022-05-25,74,361,16,14,658
2022-05-26,65,158,38,70,744
2022-05-28,70,380,68,94,372
2022-05-30,80,345,11,10,660
2022-05-31,77,210,0,0,775
2022-06-01,77,371,51,30,557
2022-06-02,70,236,59,79,877
2022-06-03,77,400,54,45,543
2022-06-04,88,267,63,104,404
2022-06-05,79,246,70,83,361
2022-06-06,78,239,52,66,672
2022-06-07,69,252,8,14,739
2022-06-08,79,353,45,82,541
2022-06-09,75,155,7,0,896
2022-06-10,81,320,35,45,570
2022-06-11,82,226,68,81,602
2022-06-12,79,217,80,68,493
2022-06-13,81,225,19,2,738
2022-06-14,71,283,22,67,624
2022-06-15,75,314,49,24,670
2022-06-16,66,360,19,23,585
2022-06-17,70,424,22,68,563
2022-06-19,72,216,115,84,531
2022-06-20,76,367,12,8,663
2022-06-21,80,298,56,70,600
2022-06-22,74,262,19,25,808
2022-06-23,70,380,73,98,487
2022-06-24,81,316,32,78,648
2022-06-27,74,377,63,57,514
2022-06-28,67,250,88,78,632
2022-06-29,76,338,38,17,634
2022-06-30,83,319,60,34,589
2022-07-01,70,289,124,117,510
2022-07-02,77,302,33,73,471
2022-07-03,74,235,80,130,487
2022-07-04,73,333,90,33,634
2022-07-05,54,110,160,61,747
2022-07-08,66,169,6,0,579
2022-07-08,69,169,6,0,579
2022-07-09,67,164,44,66,756
2022-07-10,64,10,0,0,1191
2022-07-11,73,257,54,54,583
2022-07-12,71,238,0,0,569
2022-07-12,52,238,0,0,569
2022-07-14,72,253,28,69,559
2022-07-15,73,204,66,72,747
2022-07-17,70,220,35,69,576
2022-07-17,62,220,35,69,576
2022-07-18,79,331,0,0,679
2022-07-19,73,303,169,131,454
2022-07-20,77,433,55,17,551
2022-07-21,68,453,93,25,449
2022-07-22,70,354,172,85,420
2022-07-23,74,295,46,129,356
2022-07-25,62,302,24,7,810
2022-07-26,63,283,20,29,722
2022-07-27,64,291,33,64,640
2022-07-28,74,266,33,36,755
2022-07-29,78,273,66,40,609
2022-07-30,71,231,29,49,707
2022-07-31,57,223,56,134,477
2022-07-31,59,223,56,134,477
2022-08-01,69,338,56,8,664
2022-08-02,76,225,0,0,773
2022-08-03,81,292,14,21,688
2022-08-04,81,255,16,38,734
2022-08-05,74,332,21,24,659
2022-08-06,68,277,32,115,628
2022-08-15,77,230,71,116,389
2022-08-17,74,190,119,101,556
2022-08-18,72,145,107,86,557
2022-08-19,67,174,48,65,723
2022-08-20,74,230,63,91,580
2022-08-21,70,186,83,150,668
2022-08-22,61,300,11,29,728
2022-08-23,74,255,148,106,578
2022-08-24,74,69,22,76,725
2022-08-25,83,104,54,139,676
2022-08-26,73,268,83,147,506
2022-08-27,74,137,100,140,602
2022-08-28,87,163,66,115,577
2022-08-29,78,169,74,72,669
2022-08-30,72,304,64,111,557
2022-08-31,73,235,0,0,774
2022-09-02,77,320,0,0,752
2022-09-03,70,243,82,82,595
2022-09-04,75,151,76,143,511
2022-09-05,76,230,0,0,788
2022-09-06,80,275,14,18,624
2022-09-07,64,314,10,1,719
2022-09-08,73,263,37,22,705
2022-09-09,76,346,30,21,593
2022-09-10,74,353,61,55,532
2022-09-11,68,206,91,141,580
2022-09-12,65,312,82,48,552
2022-09-13,72,268,28,25,647
2022-09-14,75,319,33,5,635
2022-09-15,75,220,202,50,463
2022-09-16,67,250,140,61,591
2022-09-17,66,308,17,6,771
2022-09-20,78,219,20,19,740
2022-09-21,58,217,7,4,829
2022-09-22,79,242,20,13,627
2022-09-23,62,280,38,38,777
2022-09-24,57,316,23,59,587
2022-09-24,63,316,23,59,587
2022-09-25,78,200,58,136,308
2022-09-26,74,195,28,13,723
2022-09-27,70,218,0,0,778
2022-09-28,77,74,17,9,169
