date,sleep_quality,light,moderate,heavy,rest
2023-12-26,72,166,12,1,886
2023-12-29,61,350,0,0,759
2023-12-30,83,148,9,56,759
2023-12-31,59,219,0,0,892
2024-01-01,58,195,12,69,888
2024-01-02,68,262,0,0,921
2024-01-04,69,209,5,81,782
2024-01-05,66,276,58,18,700
2024-01-06,66,146,3,13,1005
2024-01-07,72,196,0,0,831
2024-01-08,76,220,0,0,832
2024-01-10,58,311,0,0,819
2024-01-11,57,157,1,61,932
2024-01-12,71,241,66,51,669
2024-01-13,69,158,24,131,734
2024-01-14,59,183,12,61,851
2024-01-15,70,209,19,2,800
2024-01-16,73,221,3,108,575
2024-01-17,68,250,0,0,938
2024-01-19,70,179,47,15,760
2024-01-20,67,159,14,91,874
2024-01-21,68,224,11,2,754
2024-01-24,66,137,15,156,689
2024-01-26,68,243,7,73,796
2024-01-27,70,122,5,77,811
2024-01-28,58,192,31,15,893
2024-01-29,62,216,7,2,884
2024-01-30,58,191,0,0,946
2024-01-31,65,189,21,177,659
2024-02-02,61,99,3,62,909
2024-02-03,69,74,2,134,948
2024-02-04,57,114,9,75,937
2024-02-05,58,183,13,2,851
2024-02-06,76,223,36,32,740
2024-02-07,79,243,11,0,699
2024-02-08,72,215,2,136,734
2024-02-09,66,97,0,0,874
2024-02-11,68,11,0,0,1088
2024-02-12,66,151,3,68,849
2024-02-13,66,94,10,127,839
2024-02-14,65,197,3,49,800
2024-02-15,58,193,0,0,963
2024-02-16,65,101,41,164,818
2024-02-17,64,246,43,120,621
2024-02-18,67,132,3,13,1098
2024-02-19,64,137,18,39,949
2024-02-20,68,161,3,180,759
2024-02-21,60,59,0,0,1064
2024-02-22,67,264,0,0,849
2024-02-23,68,12,0,0,1061
2024-02-24,68,39,2,68,923
2024-02-25,73,71,1,98,873
2024-02-26,56,66,0,0,1181
2024-02-27,63,278,14,5,850
2024-02-28,74,87,7,3,895
2024-02-29,62,317,0,0,848
2024-03-02,58,139,0,0,930
2024-03-04,69,192,31,8,825
2024-03-07,70,258,10,2,843
2024-03-08,75,15,0,0,961
2024-03-10,68,157,0,0,861
2024-03-11,58,195,8,64,906
2024-03-12,68,142,7,154,920
2024-03-13,64,306,7,59,738
2024-03-14,69,153,13,124,725
2024-03-15,69,160,30,55,862
2024-03-18,64,177,4,6,792
2024-03-19,66,114,0,0,1071
2024-03-20,67,89,1,124,898
2024-03-22,69,153,11,6,846
2024-03-23,69,105,8,46,988
2024-03-25,69,117,0,60,886
2024-03-26,67,246,0,0,899
2024-03-27,72,279,35,26,617
2024-03-28,63,187,9,0,883
2024-03-29,75,174,48,9,811
2024-03-30,78,152,48,12,752
2024-03-31,69,34,0,0,1063
2024-04-01,53,141,17,82,903
2024-04-02,64,145,6,111,773
2024-04-03,70,232,18,3,763
2024-04-05,76,15,0,0,1041
2024-04-06,70,129,7,98,1021
2024-04-07,74,147,5,113,811
2024-04-09,67,20,2,173,1020
2024-04-11,68,17,0,0,1085
2024-04-13,53,193,71,56,817
2024-04-14,75,226,32,11,588
2024-04-19,70,246,25,15,762
2024-04-20,72,80,4,127,878
2024-04-21,65,92,0,0,909
2024-04-22,66,207,0,0,957
2024-04-24,64,306,0,10,841
2024-04-25,58,221,18,24,900
2024-04-26,60,342,43,65,633
2024-04-27,56,300,65,16,733
2024-04-28,70,172,15,3,804
2024-04-29,67,328,13,6,609
2024-04-30,68,148,9,131,945
2024-05-01,79,185,25,8,754
2024-05-02,62,13,0,0,1163
2024-05-04,73,191,12,0,832
2024-05-05,61,180,23,77,864
2024-05-07,63,119,0,0,894
2024-05-08,63,210,4,14,923
2024-05-09,67,178,9,13,979
2024-05-10,62,83,0,0,959
2024-05-12,60,86,0,0,982
2024-05-13,64,109,12,8,1131
2024-05-14,60,55,0,0,1114
2024-05-16,72,295,16,6,874
2024-05-17,71,245,37,5,761
2024-05-18,67,19,15,3,1033
2024-05-20,66,62,0,0,900
2024-05-21,65,209,13,0,854
2024-05-22,73,124,0,0,900
2024-05-23,74,10,0,0,1055
2024-05-24,64,124,13,12,953
2024-05-25,69,55,12,1,1043
2024-05-27,59,118,0,177,896
2024-05-28,52,264,12,17,827
2024-05-29,67,147,13,90,843
2024-05-30,59,282,0,0,917
2024-05-31,62,285,48,43,789
2024-06-08,54,16,0,0,1099
2024-06-09,70,249,0,0,811
2024-06-10,69,269,13,7,893
2024-06-11,72,110,6,1,935
2024-06-12,69,117,19,10,884
2024-06-15,63,194,16,100,929
2024-06-16,57,197,22,117,853
2024-06-17,70,87,10,2,981
2024-06-18,68,141,2,24,1068
2024-06-19,57,41,18,151,883
2024-06-20,60,340,0,0,872
2024-06-22,64,145,14,78,877
2024-06-25,69,160,7,2,874
2024-06-26,59,215,0,0,1010
2024-06-29,65,79,0,0,893
2024-06-30,66,26,16,91,921
2024-07-01,65,140,29,1,934
2024-07-02,65,22,0,110,980
2024-07-06,74,2,0,0,1127
2024-07-07,60,15,1,95,954
2024-07-08,65,93,17,0,959
2024-07-09,62,9,0,0,1124
2024-07-10,59,5,0,0,1148
2024-07-11,65,95,38,186,753
2024-07-12,69,7,0,0,1028
2024-07-15,62,69,17,51,1025
2024-07-16,66,42,0,0,1053
2024-07-17,58,96,35,181,826
2024-07-18,62,5,0,0,1103
2024-07-20,74,126,45,133,789
2024-07-22,70,3,0,0,991
2024-07-23,66,10,0,0,1112
2024-07-24,72,4,0,0,1091
2024-07-25,65,5,0,0,1146
2024-07-27,70,7,0,0,982
2024-07-31,67,7,0,0,962
2024-08-01,67,5,0,0,967
2024-08-02,70,93,4,98,1020
2024-08-11,73,85,70,301,530
2024-08-13,83,218,49,61,622
2024-08-14,71,117,63,277,663
2024-08-20,67,13,29,144,908
2024-08-21,68,108,11,4,962
2024-08-22,75,149,0,0,795
2024-08-23,67,38,0,0,1054
2024-08-27,79,114,0,0,842
2024-08-28,65,40,3,173,900
2024-08-29,73,10,0,0,1119
2024-08-30,64,13,0,0,1114
2024-08-31,71,4,0,0,1022
2024-09-02,63,38,19,264,887
2024-09-03,62,108,0,0,994
2024-09-04,65,17,0,243,873
2024-09-05,65,273,0,0,730
2024-09-06,69,9,0,0,1058
2024-09-07,73,16,1,83,937
2024-09-08,72,246,0,0,641
2024-09-10,65,154,12,57,922
2024-09-11,67,220,0,0,888
2024-09-12,72,139,0,0,938
2024-09-14,50,111,0,0,1083
2024-09-15,59,76,5,120,1035
2024-09-16,70,174,6,7,857
2024-09-17,79,243,24,6,753
2024-09-18,65,101,0,0,1145
2024-09-19,70,211,29,4,858
2024-09-20,63,177,33,6,954
2024-09-21,65,257,32,12,890
2024-09-22,70,195,13,0,580
2024-09-24,67,200,88,380,323
2024-09-25,67,267,33,305,384
2024-09-26,70,327,52,282,313
2024-09-27,67,149,68,446,375
2024-09-28,76,197,48,289,325
2024-09-29,80,186,36,241,382
2024-09-30,73,209,71,278,356
2024-10-01,68,192,38,333,367
2024-10-02,79,269,41,282,245
2024-10-03,76,196,15,277,369
2024-10-04,82,208,14,296,360
2024-10-05,68,185,44,337,319
2024-10-06,66,162,40,385,247
2024-10-07,74,266,32,253,253
2024-10-08,80,225,28,324,300
2024-10-09,72,258,16,62,578
2024-10-10,76,220,22,310,367
2024-10-11,82,221,18,309,339
2024-10-12,74,222,38,257,406
2024-10-13,75,205,20,296,373
2024-10-14,75,213,50,312,273
2024-10-15,76,186,23,333,337
2024-10-16,69,174,52,367,284
2024-10-17,68,197,33,294,358
2024-10-18,73,143,38,342,361
2024-10-19,81,194,28,306,329
2024-10-20,79,162,49,324,306
2024-10-21,75,197,55,314,516
2024-10-22,81,181,31,334,280
2024-10-23,83,174,58,402,249
2024-10-24,71,142,30,383,304
2024-10-25,81,233,75,183,436
2024-10-26,76,149,76,129,472
2024-10-27,80,218,73,103,424
2024-10-28,79,203,48,72,715
2024-10-29,85,216,34,20,638
2024-10-30,67,200,16,22,746
2024-10-31,78,221,13,2,517
2024-11-01,78,171,15,7,822
2024-11-02,80,96,29,172,656
2024-11-03,74,57,0,0,921
2024-11-04,78,162,5,5,858
2024-11-05,66,218,60,76,753
2024-11-06,79,218,76,101,469
2024-11-07,54,177,22,15,883
2024-11-08,63,241,28,12,802
2024-11-09,74,61,73,78,813
2024-11-10,62,111,15,143,946
2024-11-11,72,199,48,93,684
2024-11-12,65,113,20,11,837
2024-11-14,61,206,31,82,767
2024-11-15,69,63,39,111,817
2024-11-16,69,119,29,17,673
2024-11-17,64,147,12,97,783
2024-11-19,71,47,0,0,921
2024-11-20,64,201,0,0,937
2024-11-21,69,91,0,0,1016
2024-11-22,66,191,50,59,724
2024-11-23,69,130,23,78,851
2024-11-24,52,135,4,53,1040
2024-11-25,77,196,0,0,696
2024-11-26,76,229,6,2,727
2024-11-27,61,207,21,1,970
2024-11-28,71,275,23,14,717
2024-11-29,58,252,66,90,741
