date,sleep_quality,light,moderate,heavy,rest
2024-11-30,69,236,43,62,625
2024-12-01,74,113,0,0,916
2024-12-02,63,175,0,0,1024
2024-12-03,70,230,14,4,755
2024-12-04,56,270,9,3,767
2024-12-05,68,263,0,0,820
2024-12-06,60,285,13,12,795
2024-12-07,66,271,106,64,697
2024-12-08,69,40,0,0,979
2024-12-10,73,263,12,8,570
2024-12-11,72,177,31,126,662
2024-12-14,69,172,73,79,755
2024-12-15,61,207,10,0,857
2024-12-16,68,254,0,0,777
2024-12-17,66,227,28,40,700
2024-12-18,61,173,15,118,824
2024-12-19,64,225,12,1,773
2024-12-20,51,273,55,43,727
2024-12-22,59,200,78,40,636
2024-12-23,65,170,3,63,798
2024-12-24,73,189,6,5,624
2024-12-24,62,189,6,5,624
2024-12-25,69,213,0,0,673
2024-12-26,70,136,28,106,719
2024-12-27,51,187,32,142,349
2024-12-27,62,187,32,142,349
2024-12-28,74,73,10,5,921
2024-12-30,62,175,34,35,571
2024-12-31,69,198,6,32,764
2025-01-02,76,213,9,0,794
2025-01-03,67,262,35,77,725
2025-01-04,67,238,42,101,658
2025-01-05,69,194,0,0,794
2025-01-06,74,78,0,0,522
2025-01-07,80,156,4,7,717
2025-01-08,80,133,0,0,721
2025-01-09,76,189,0,0,749
2025-01-10,74,147,24,7,819
2025-01-11,66,221,60,24,759
2025-01-12,76,201,0,0,849
2025-01-13,62,282,18,23,915
2025-01-14,78,250,38,2,590
2025-01-15,62,238,17,9,805
2025-01-16,75,229,44,73,489
2025-01-17,64,224,26,21,846
2025-01-18,63,310,33,28,711
2025-01-19,60,133,0,0,1001
2025-01-20,58,203,0,0,962
2025-01-21,69,280,11,7,745
2025-01-22,63,212,25,2,614
2025-01-23,57,201,0,0,831
2025-01-24,56,258,35,6,857
2025-01-28,71,153,19,38,707
2025-01-29,71,223,14,53,687
2025-01-30,61,148,22,139,801
2025-02-01,59,70,0,0,997
2025-02-02,71,4,0,0,1021
2025-02-03,56,229,34,15,833
2025-02-04,66,203,15,99,712
2025-02-05,64,169,38,139,744
2025-02-06,54,246,0,0,956
2025-02-07,59,132,7,4,904
2025-02-08,68,115,7,4,760
2025-02-09,71,182,11,17,786
2025-02-10,71,311,31,10,548
2025-02-11,73,261,24,7,667
2025-02-12,53,41,0,0,1041
2025-02-13,68,46,0,0,966
2025-02-14,63,264,16,3,845
2025-02-16,77,113,12,126,789
2025-02-17,74,96,0,0,961
2025-02-19,61,209,14,52,892
2025-02-20,63,193,13,149,756
2025-02-21,54,126,4,84,880
2025-02-22,69,40,11,142,938
2025-02-23,64,28,0,0,1055
2025-02-24,62,37,6,33,1017
2025-03-06,54,200,33,62,558
2025-03-06,71,200,33,62,558
2025-03-07,80,197,14,3,620
2025-03-08,67,216,16,71,669
2025-03-09,70,136,0,0,838
2025-03-10,68,204,6,2,854
2025-03-11,69,264,0,0,677
2025-03-12,67,210,11,3,1019
2025-03-13,53,131,2,68,863
2025-03-14,65,172,14,59,696
2025-03-15,72,176,16,21,839
2025-03-16,63,141,9,73,928
2025-03-17,66,212,0,0,880
2025-03-18,61,216,10,16,965
2025-03-19,53,298,48,113,628
2025-03-20,79,238,56,114,457
2025-03-21,59,234,52,11,748
2025-03-22,72,156,9,16,831
2025-03-23,59,145,19,118,804
2025-03-25,73,214,17,25,844
2025-03-26,70,208,5,63,830
2025-03-27,71,243,26,4,686
2025-03-28,73,257,10,77,667
2025-03-29,70,184,9,4,878
2025-03-30,56,80,9,69,875
2025-03-31,72,245,2,8,853
2025-04-01,70,224,62,19,733
2025-04-03,63,152,18,69,923
2025-04-04,65,221,40,119,539
2025-04-05,61,87,0,0,939
2025-04-06,66,117,19,101,749
2025-04-07,60,236,0,0,901
2025-04-08,75,164,28,61,629
2025-04-09,63,229,19,5,973
2025-04-10,74,276,26,6,694
2025-04-11,67,212,68,159,593
2025-04-13,65,152,3,34,819
2025-04-14,66,253,0,0,784
2025-04-15,68,203,0,0,672
2025-04-16,62,271,25,4,817
2025-04-17,58,128,0,0,1063
2025-04-18,68,236,17,41,752
2025-04-19,70,242,22,0,649
2025-04-20,61,164,0,0,1025
2025-04-21,57,140,9,152,688
2025-04-22,69,154,0,0,869
2025-04-23,60,223,11,5,844
2025-04-24,64,229,50,45,774
2025-04-26,74,247,6,2,841
2025-04-28,57,205,0,0,946
2025-04-29,64,224,2,116,848
2025-04-30,49,188,6,2,921
2025-05-01,59,134,8,78,626
2025-05-03,65,170,23,209,774
2025-05-05,59,216,0,0,861
2025-05-06,79,252,13,0,564
2025-05-07,65,242,0,0,1012
2025-05-09,63,192,58,174,673
2025-05-10,76,152,62,166,567
2025-05-11,71,161,59,118,554
2025-05-12,71,223,81,116,665
2025-05-13,63,236,25,54,770
2025-05-15,68,140,0,0,1030
2025-05-16,77,201,68,25,745
2025-05-17,63,177,0,163,785
2025-05-18,52,198,12,18,796
2025-05-19,55,222,26,114,775
2025-05-21,65,215,24,112,881
2025-05-22,60,197,8,0,1013
2025-05-23,62,198,27,68,880
2025-05-24,74,308,24,52,625
2025-05-26,70,214,0,0,824
2025-05-27,66,130,0,0,899
2025-05-28,75,174,2,133,617
2025-05-29,70,205,11,11,794
2025-05-30,66,278,18,32,885
2025-05-31,75,201,8,0,841
2025-06-01,53,87,1,41,1029
2025-06-03,62,154,0,0,1013
2025-06-04,61,145,0,0,1078
2025-06-06,69,129,36,24,871
2025-06-07,66,219,4,14,932
2025-06-12,65,170,0,0,976
2025-06-13,68,136,0,0,991
2025-06-14,73,86,0,0,920
2025-06-16,71,93,0,0,902
2025-06-17,62,196,2,21,960
2025-06-18,65,136,0,0,1011
2025-06-19,64,220,0,0,1018
2025-06-20,68,172,0,0,898
2025-06-21,58,213,2,7,968
2025-06-22,56,60,0,0,1037
2025-06-24,72,284,10,37,652
2025-06-25,66,139,0,0,880
2025-06-27,55,308,9,4,820
2025-06-30,62,131,0,0,956
2025-07-01,70,182,7,19,833
2025-07-02,72,179,0,0,882
2025-07-03,75,75,0,0,931
2025-07-04,75,169,0,0,889
2025-07-05,68,383,16,1,619
2025-07-06,84,108,9,2,864
2025-07-07,68,198,5,107,768
2025-07-08,64,158,0,0,997
2025-07-09,68,151,37,209,668
2025-07-10,61,205,20,5,934
2025-07-11,63,277,29,7,740
2025-07-12,74,242,32,154,626
2025-07-13,54,148,13,39,912
2025-07-14,74,195,39,6,781
2025-07-15,69,204,34,105,766
2025-07-16,66,115,10,0,1002
2025-07-18,51,169,11,5,1059
2025-07-19,64,211,9,43,870
2025-07-21,70,117,0,0,968
2025-07-22,62,182,7,63,999
2025-07-23,71,195,46,13,783
2025-07-24,63,109,27,81,909
2025-07-29,63,123,11,63,932
2025-07-30,67,112,5,152,809
2025-07-31,64,124,11,39,816
2025-08-01,68,253,30,13,710
2025-08-02,69,212,40,1,606
2025-08-06,57,74,7,3,1013
2025-08-07,61,246,4,10,844
2025-08-08,70,188,9,132,899
2025-08-09,69,74,0,0,809
