date,week
2022-09-28,WD_0
2022-09-27,WD_0
2022-09-26,WD_0
2022-09-25,WE_0
2022-09-24,WE_0
2022-09-24,WE_0
2022-09-23,WD_0
2022-09-22,WD_0
2022-09-21,WD_0
2022-09-20,WD_0
2022-09-17,WE_0
2022-09-16,WD_0
2022-09-15,WD_0
2022-09-14,WD_0
2022-09-13,WD_0
2022-09-12,WD_0
2022-09-11,WE_0
2022-09-10,WE_0
2022-09-09,WD_0
2022-09-08,WD_0
2022-09-07,WD_0
2022-09-06,WD_0
2022-09-05,WD_0
2022-09-04,WE_0
2022-09-03,WE_0
2022-09-02,WD_0
2022-08-31,WD_0
2022-08-30,WD_0
2022-08-29,WD_0
2022-08-28,WE_0
2022-08-27,WE_0
2022-08-26,WD_0
2022-08-25,WD_0
2022-08-24,WD_0
2022-08-23,WD_0
2022-08-22,WD_0
2022-08-21,WE_0
2022-08-20,WE_0
2022-08-19,WD_0
2022-08-18,WD_0
2022-08-17,WD_0
2022-08-15,WD_0
2022-08-06,WE_0
2022-08-05,WD_0
2022-08-04,WD_0
2022-08-03,WD_0
2022-08-02,WD_0
2022-08-01,WD_0
2022-07-31,WE_0
2022-07-31,WE_0
2022-07-30,WE_0
2022-07-29,WD_0
2022-07-28,WD_0
2022-07-27,WD_0
2022-07-26,WD_0
2022-07-25,WD_0
2022-07-23,WE_0
2022-07-22,WD_0
2022-07-21,WD_0
2022-07-20,WD_0
2022-07-19,WD_0
2022-07-18,WD_0
2022-07-17,WE_0
2022-07-17,WE_0
2022-07-15,WD_0
2022-07-14,WD_0
2022-07-12,WD_0
2022-07-12,WD_0
2022-07-11,WD_0
2022-07-10,WE_0
2022-07-09,WE_0
2022-07-08,WD_0
2022-07-08,WD_0
2022-07-05,WD_0
2022-07-04,WD_0
2022-07-03,WE_0
2022-07-02,WE_0
2022-07-01,WD_0
2022-06-30,WD_0
2022-06-29,WD_0
2022-06-28,WD_0
2022-06-27,WD_0
2022-06-24,WD_0
2022-06-23,WD_0
2022-06-22,WD_0
2022-06-21,WD_0
2022-06-20,WD_0
2022-06-19,WE_0
2022-06-17,WD_0
2022-06-16,WD_0
2022-06-15,WD_0
2022-06-14,WD_0
2022-06-13,WD_0
2022-06-12,WE_0
2022-06-11,WE_0
2022-06-10,WD_0
2022-06-09,WD_0
2022-06-08,WD_0
2022-06-07,WD_0
2022-06-06,WD_0
2022-06-05,WE_0
2022-06-04,WE_0
2022-06-03,WD_0
2022-06-02,WD_0
2022-06-01,WD_0
2022-05-31,WD_0
2022-05-30,WD_0
2022-05-28,WE_0
2022-05-26,WD_0
2022-05-25,WD_0
2022-05-24,WD_0
2022-05-23,WD_0
2022-05-21,WE_0
2022-05-20,WD_0
2022-05-19,WD_0
2022-05-17,WD_0
2022-05-16,WD_0
2022-05-15,WE_0
2022-05-14,WE_0
2022-05-13,WD_0
2022-05-12,WD_0
2022-05-11,WD_0
2022-05-10,WD_0
2022-05-09,WD_0
2022-05-08,WE_0
2022-05-07,WE_0
2022-05-06,WD_0
2022-05-05,WD_0
2022-05-04,WD_0
2022-05-03,WD_0
2022-05-02,WD_0
2022-05-01,WE_0
2022-04-30,WE_0
2022-04-29,WD_0
2022-04-28,WD_0
2022-04-27,WD_0
2022-04-26,WD_0
2022-04-25,WD_0
2022-04-25,WD_0
2022-04-23,WE_0
2022-04-22,WD_0
2022-04-21,WD_0
2022-04-20,WD_0
2022-04-19,WD_0
2022-04-18,WD_0
2022-04-17,WE_0
2022-04-16,WE_0
2022-04-15,WD_0
2022-04-14,WD_0
2022-04-13,WD_0
2022-04-12,WD_0
2022-04-11,WD_0
2022-04-10,WE_0
2022-04-09,WE_0
2022-04-08,WD_0
2022-04-06,WD_0
2022-04-05,WD_0
2022-04-04,WD_0
2022-04-03,WE_0
2022-04-02,WE_0
2022-04-01,WD_0
2022-03-31,WD_0
2022-03-30,WD_0
2022-03-29,WD_0
2022-03-28,WD_0
2022-03-27,WE_0
2022-03-26,WE_0
