date,sleep_quality,light,moderate,heavy,rest
2021-08-01,76,244,32,24,447
2021-08-12,78,2,0,0,841
2021-08-14,70,320,57,59,440
2021-09-08,79,14,0,0,909
2021-09-11,79,464,57,61,318
2021-09-12,79,268,12,0,549
2021-09-13,67,76,39,39,836
2021-09-14,69,104,35,42,800
2021-09-15,63,12,0,0,932
2021-09-16,56,69,23,53,909
2021-09-17,79,98,47,43,803
2021-09-21,67,160,0,0,828
2021-09-22,68,73,0,0,906
2021-10-01,74,4,0,0,958
2021-10-04,76,148,15,41,664
2021-10-06,60,124,0,0,916
2021-10-07,67,115,8,38,783
2021-10-11,61,80,16,27,836
2021-10-12,70,52,0,0,856
2021-10-13,58,81,0,0,972
2021-10-14,69,160,20,34,778
2021-10-18,64,295,31,35,665
2021-10-25,54,320,22,3,548
2021-10-27,72,376,48,41,574
2021-10-30,74,207,0,0,605
2021-10-31,79,182,0,0,768
2021-11-01,66,280,0,0,548
2021-11-05,65,267,21,8,672
2021-11-06,74,201,38,3,598
2021-11-08,72,328,28,16,599
2021-11-09,55,301,9,3,725
2021-11-17,58,240,68,22,862
2021-11-18,57,286,6,6,714
2021-11-19,62,172,42,22,756
2021-11-20,76,241,19,14,616
2021-11-21,73,228,12,0,681
2021-11-22,78,215,4,10,721
2021-11-23,77,290,36,18,594
2021-11-24,74,376,56,36,565
2021-11-25,72,171,18,7,827
2021-11-26,79,174,53,50,653
2021-11-27,86,254,22,6,418
2021-11-28,80,32,0,0,822
2021-12-07,80,242,62,17,662
2021-12-08,77,300,12,0,556
2021-12-09,74,258,51,29,635
2021-12-10,83,149,0,0,744
2021-12-11,63,230,29,65,545
2021-12-12,84,159,38,8,617
2021-12-13,47,311,15,43,487
2021-12-16,80,322,26,11,449
2021-12-18,76,166,0,0,689
2021-12-24,78,253,56,7,654
2021-12-25,63,55,50,18,761
2021-12-27,74,329,83,21,480
2021-12-28,82,266,34,26,441
2021-12-30,82,259,23,19,537
2021-12-31,77,133,30,43,587
2022-01-02,91,293,75,61,355
2022-01-03,54,58,0,0,931
2022-01-04,72,5,0,0,984
2022-01-07,83,212,0,0,713
2022-01-10,67,294,14,3,562
2022-01-13,82,304,17,6,474
2022-01-18,74,304,64,54,537
2022-01-19,84,293,31,7,417
2022-01-23,87,314,74,4,300
2022-01-26,78,339,71,51,540
2022-01-27,74,326,39,65,461
2022-01-30,81,185,72,49,430
2022-02-05,77,60,0,0,818
2022-02-06,83,309,37,3,460
2022-02-09,72,199,0,0,744
2022-02-10,75,304,0,0,551
2022-02-15,46,265,24,45,602
2022-02-19,80,287,0,0,553
2022-02-20,77,68,0,0,716
2022-02-24,69,271,22,59,634
2022-02-26,79,408,83,24,345
2022-02-27,80,285,66,22,552
2022-02-28,76,233,64,35,579
2022-03-01,76,296,0,0,658
2022-03-02,77,283,13,5,419
2022-03-05,79,61,0,0,839
2022-03-06,66,305,79,10,561
2022-03-07,75,306,105,19,323
2022-03-09,69,407,0,0,512
2022-03-12,74,41,0,0,817
2022-03-13,74,333,0,0,501
2022-03-19,77,134,7,6,718
2022-03-26,82,118,9,3,728
2022-04-02,78,328,0,0,496
2022-04-03,76,198,13,22,602
2022-04-05,81,469,18,25,371
2022-04-09,80,368,31,15,577
2022-04-10,86,109,79,63,473
2022-04-13,71,329,104,54,480
2022-04-14,81,263,79,12,520
2022-04-15,87,315,75,12,423
2022-04-16,80,275,41,12,520
2022-04-17,73,258,135,40,578
2022-04-18,83,191,44,12,616
2022-04-19,81,353,4,24,425
2022-04-23,80,228,46,5,609
2022-04-24,83,349,27,15,466
2022-04-25,78,260,56,2,504
2022-04-29,76,312,39,12,630
2022-04-30,78,328,58,15,503
2022-05-01,69,357,1,10,445
2022-05-07,78,395,49,20,409
2022-05-08,71,356,41,64,340
2022-05-14,87,392,8,13,383
2022-05-15,52,334,9,44,615
2022-05-16,76,326,26,6,492
2022-05-20,79,279,0,0,690
2022-05-21,82,183,12,6,684
2022-05-23,70,406,28,0,541
2022-05-24,78,339,28,22,583
2022-05-28,77,332,29,10,482
2022-05-30,74,295,83,91,496
2022-05-31,80,249,61,63,583
2022-06-01,70,119,40,22,819
2022-06-03,67,370,97,45,425
2022-06-04,74,230,0,0,697
2022-06-05,85,160,0,0,666
2022-06-06,72,310,134,32,507
2022-06-07,57,400,112,44,408
2022-06-08,90,152,24,3,618
2022-06-09,69,268,45,83,567
2022-06-10,89,314,120,31,320
2022-06-11,38,12,0,0,965
2022-06-12,58,104,0,0,872
2022-06-13,80,282,76,55,430
2022-06-14,74,204,80,56,620
2022-06-17,80,197,84,75,582
2022-06-18,69,388,6,47,622
2022-06-19,79,248,118,76,497
2022-06-20,79,199,18,75,610
2022-06-21,80,99,63,56,727
2022-06-22,79,283,19,68,569
2022-06-23,79,319,97,68,506
2022-06-24,71,318,102,87,531
2022-06-25,73,366,93,42,457
2022-06-26,81,251,37,14,573
2022-06-28,74,327,179,85,340
2022-06-29,81,337,60,50,460
2022-06-30,75,299,98,80,431
2022-07-01,79,310,129,80,419
2022-07-02,60,13,0,0,942
2022-07-03,76,321,78,33,507
2022-07-04,80,153,69,30,647
2022-07-05,71,338,65,22,482
2022-07-06,41,327,0,0,678
2022-07-07,68,350,10,0,673
2022-07-08,69,245,55,15,745
2022-07-09,71,346,134,43,483
2022-07-10,74,368,181,36,354
2022-07-11,83,285,125,46,471
2022-07-12,72,277,84,29,577
2022-07-13,67,270,82,14,547
2022-07-14,73,186,128,37,524
2022-07-15,74,184,85,17,579
2022-07-16,80,375,16,10,536
2022-07-17,68,333,92,10,562
