date,hol_we
2023-01-18,noVALUE
2023-01-17,noVALUE
2023-01-16,noVALUE
2023-01-15,WE_0
2023-01-14,noVALUE
2023-01-13,noVALUE
2023-01-12,noVALUE
2023-01-11,noVALUE
2023-01-10,noVALUE
2023-01-09,noVALUE
2023-01-08,WE_0
2023-01-07,noVALUE
2023-01-06,noVALUE
2023-01-05,noVALUE
2023-01-04,noVALUE
2023-01-03,noVALUE
2023-01-02,noVALUE
2023-01-01,WE_0
2022-12-31,noVALUE
2022-12-30,noVALUE
2022-12-29,noVALUE
2022-12-28,noVALUE
2022-12-27,noVALUE
2022-12-26,VA_0
2022-12-25,WE_0
2022-12-24,noVALUE
2022-12-23,noVALUE
2022-12-22,noVALUE
2022-12-21,noVALUE
2022-12-20,noVALUE
2022-12-19,noVALUE
2022-12-18,WE_0
2022-12-17,noVALUE
2022-12-16,noVALUE
2022-12-15,noVALUE
2022-12-14,noVALUE
2022-12-13,noVALUE
2022-12-12,noVALUE
2022-12-11,WE_0
2022-12-10,noVALUE
2022-12-09,noVALUE
2022-12-08,VA_0
2022-12-07,noVALUE
2022-12-06,noVALUE
2022-12-05,noVALUE
2022-12-04,WE_0
2022-12-03,noVALUE
2022-12-02,noVALUE
2022-12-01,noVALUE
2022-11-30,noVALUE
2022-11-29,noVALUE
2022-11-28,noVALUE
2022-11-27,WE_0
2022-11-26,noVALUE
2022-11-25,noVALUE
2022-11-24,noVALUE
2022-11-23,noVALUE
2022-11-22,noVALUE
2022-11-21,noVALUE
2022-11-20,WE_0
2022-11-19,noVALUE
2022-11-18,noVALUE
2022-11-17,noVALUE
2022-11-16,noVALUE
2022-11-15,noVALUE
2022-11-14,noVALUE
2022-11-13,WE_0
2022-11-12,noVALUE
2022-11-11,noVALUE
2022-11-10,noVALUE
2022-11-09,noVALUE
2022-11-08,noVALUE
2022-11-07,noVALUE
2022-11-06,WE_0
2022-11-05,noVALUE
2022-11-04,noVALUE
2022-11-03,noVALUE
2022-11-02,noVALUE
2022-11-01,VA_0
2022-10-31,noVALUE
2022-10-30,WE_0
2022-10-29,noVALUE
2022-10-28,noVALUE
2022-10-26,noVALUE
2022-10-25,noVALUE
2022-10-24,noVALUE
2022-10-23,WE_0
2022-10-21,noVALUE
2022-10-18,noVALUE
2022-10-17,noVALUE
2022-10-16,WE_0
2022-10-15,noVALUE
2022-10-14,noVALUE
2022-10-13,noVALUE
2022-10-12,noVALUE
2022-10-11,noVALUE
2022-10-10,noVALUE
2022-10-09,WE_0
2022-10-08,noVALUE
2022-10-07,noVALUE
2022-10-06,noVALUE
2022-10-05,noVALUE
2022-10-04,noVALUE
2022-10-02,WE_0
2022-10-01,noVALUE
2022-09-30,noVALUE
2022-09-29,noVALUE
2022-09-28,noVALUE
2022-09-27,noVALUE
2022-09-26,noVALUE
2022-09-25,WE_0
2022-09-24,noVALUE
2022-09-23,noVALUE
2022-09-22,noVALUE
2022-09-21,noVALUE
2022-09-20,noVALUE
2022-09-19,noVALUE
2022-09-18,WE_0
2022-09-17,noVALUE
2022-09-16,noVALUE
2022-09-15,noVALUE
2022-09-14,noVALUE
2022-09-13,noVALUE
2022-09-12,noVALUE
2022-09-11,WE_0
2022-09-10,noVALUE
2022-09-09,noVALUE
2022-09-08,noVALUE
2022-09-07,noVALUE
2022-09-06,noVALUE
2022-09-05,noVALUE
2022-09-04,WE_0
2022-09-03,noVALUE
2022-09-02,noVALUE
2022-09-01,noVALUE
2022-08-31,noVALUE
2022-08-30,noVALUE
2022-08-29,noVALUE
2022-08-28,WE_0
2022-08-27,noVALUE
2022-08-26,noVALUE
2022-08-25,noVALUE
2022-08-24,noVALUE
2022-08-23,noVALUE
2022-08-22,noVALUE
2022-08-21,WE_0
2022-08-20,noVALUE
2022-08-19,noVALUE
2022-08-18,noVALUE
2022-08-17,noVALUE
2022-08-16,noVALUE
2022-08-15,VA_0
2022-08-14,WE_0
2022-08-12,noVALUE
2022-08-11,noVALUE
2022-08-10,noVALUE
2022-08-09,noVALUE
2022-08-04,noVALUE
2022-08-03,noVALUE
2022-08-02,noVALUE
2022-08-01,noVALUE
2022-07-31,WE_0
2022-07-28,noVALUE
2022-07-27,noVALUE
2022-07-26,noVALUE
2022-07-25,noVALUE
2022-07-24,WE_0
2022-07-23,noVALUE
2022-07-22,noVALUE
2022-07-21,noVALUE
2022-07-20,noVALUE
2022-07-19,noVALUE
2022-07-17,WE_0
2022-07-16,noVALUE
2022-07-15,noVALUE
2022-07-14,noVALUE
2022-07-13,noVALUE
2022-07-12,noVALUE
2022-07-11,noVALUE
2022-07-10,WE_0
2022-07-09,noVALUE
2022-07-08,noVALUE
2022-07-07,noVALUE
2022-07-06,noVALUE
2022-07-05,noVALUE
2022-07-04,noVALUE
2022-07-03,WE_0
2022-07-02,noVALUE
2022-07-01,noVALUE
2022-06-30,noVALUE
2022-06-29,noVALUE
2022-06-28,noVALUE
2022-06-26,WE_0
2022-06-25,noVALUE
2022-06-24,noVALUE
2022-06-23,noVALUE
2022-06-22,noVALUE
2022-06-21,noVALUE
2022-06-20,noVALUE
2022-06-19,WE_0
2022-06-18,noVALUE
2022-06-17,noVALUE
2022-06-14,noVALUE
2022-06-13,noVALUE
2022-06-12,WE_0
2022-06-11,noVALUE
2022-06-10,noVALUE
2022-06-09,noVALUE
2022-06-08,noVALUE
2022-06-07,noVALUE
2022-06-06,noVALUE
2022-06-05,WE_0
2022-06-04,noVALUE
2022-06-03,noVALUE
2022-06-01,noVALUE
2022-05-31,noVALUE
2022-05-30,noVALUE
2022-05-28,noVALUE
2022-05-24,noVALUE
2022-05-23,noVALUE
2022-05-21,noVALUE
2022-05-20,noVALUE
2022-05-16,noVALUE
2022-05-15,WE_0
2022-05-14,noVALUE
2022-05-08,WE_0
2022-05-07,noVALUE
2022-05-01,WE_0
2022-04-30,noVALUE
2022-04-29,noVALUE
2022-04-25,VA_0
2022-04-24,WE_0
2022-04-23,noVALUE
2022-04-19,noVALUE
2022-04-18,VA_0
2022-04-17,WE_0
2022-04-16,noVALUE
2022-04-15,noVALUE
2022-04-14,noVALUE
2022-04-13,noVALUE
2022-04-10,WE_0
2022-04-09,noVALUE
2022-04-05,noVALUE
2022-04-03,WE_0
2022-04-02,noVALUE
2022-03-26,noVALUE
2022-03-19,noVALUE
2022-03-13,WE_0
2022-03-12,noVALUE
2022-03-09,noVALUE
2022-03-07,noVALUE
2022-03-06,WE_0
2022-03-05,noVALUE
2022-03-02,noVALUE
2022-03-01,noVALUE
2022-02-28,noVALUE
2022-02-27,WE_0
2022-02-26,noVALUE
2022-02-24,noVALUE
2022-02-20,WE_0
2022-02-19,noVALUE
2022-02-15,noVALUE
2022-02-10,noVALUE
2022-02-09,noVALUE
2022-02-06,WE_0
2022-02-05,noVALUE
2022-01-30,WE_0
2022-01-27,noVALUE
2022-01-26,noVALUE
2022-01-23,WE_0
2022-01-19,noVALUE
2022-01-18,noVALUE
2022-01-13,noVALUE
2022-01-10,noVALUE
2022-01-07,noVALUE
2022-01-04,noVALUE
2022-01-03,noVALUE
2022-01-02,WE_0
2021-12-31,noVALUE
2021-12-30,noVALUE
2021-12-28,noVALUE
2021-12-27,noVALUE
2021-12-25,VA_0
2021-12-24,noVALUE
2021-12-18,noVALUE
2021-12-16,noVALUE
2021-12-13,noVALUE
2021-12-12,WE_0
2021-12-11,noVALUE
2021-12-10,noVALUE
2021-12-09,noVALUE
2021-12-08,VA_0
2021-12-07,noVALUE
2021-11-28,WE_0
2021-11-27,noVALUE
2021-11-26,noVALUE
2021-11-25,noVALUE
2021-11-24,noVALUE
2021-11-23,noVALUE
2021-11-22,noVALUE
2021-11-21,WE_0
2021-11-20,noVALUE
2021-11-19,noVALUE
2021-11-18,noVALUE
