date,sleep_quality,light,moderate,heavy,rest
2023-09-08,67,326,11,7,805
2023-09-09,77,214,96,170,481
2023-09-10,70,219,80,107,580
2023-09-11,78,175,15,45,742
2023-09-12,74,271,4,0,789
2023-09-13,73,204,0,0,771
2023-09-14,77,258,83,106,548
2023-09-15,72,175,22,5,792
2023-09-16,71,225,50,127,438
2023-09-17,89,141,77,129,550
2023-09-18,80,262,33,74,646
2023-09-19,71,302,78,58,550
2023-09-20,82,156,24,62,792
2023-09-21,78,274,104,158,504
2023-09-22,61,172,9,19,998
2023-09-23,68,224,71,163,331
2023-09-23,70,224,71,163,331
2023-09-24,77,186,80,98,416
2023-09-25,72,196,50,43,692
2023-09-26,68,230,0,0,824
2023-09-27,84,181,16,23,731
2023-09-28,76,236,59,61,648
2023-09-29,77,201,59,28,683
2023-09-30,80,263,80,151,486
2023-10-01,82,245,73,141,413
2023-10-02,78,255,64,75,604
2023-10-03,79,228,6,12,730
2023-10-04,80,219,58,74,646
2023-10-05,89,205,46,66,651
2023-10-06,80,306,12,10,659
2023-10-07,81,222,66,183,385
2023-10-08,74,127,65,158,569
2023-10-09,72,277,47,46,583
2023-10-10,66,222,12,1,870
2023-10-11,66,251,42,42,621
2023-10-12,75,247,39,57,709
2023-10-13,69,234,48,27,664
2023-10-14,82,211,105,153,383
2023-10-15,80,260,66,137,323
2023-10-16,58,276,55,60,733
2023-10-17,80,306,0,0,684
2023-10-18,73,242,82,92,627
2023-10-19,70,243,47,77,633
2023-10-20,70,304,73,115,614
2023-10-21,72,298,46,99,502
2023-10-22,83,209,144,158,354
2023-10-23,78,279,73,89,598
2023-10-24,77,309,25,13,646
2023-10-25,74,294,28,48,671
2023-10-26,67,247,19,46,688
2023-10-27,77,266,20,41,666
2023-10-28,73,254,53,132,459
2023-10-29,67,235,53,116,636
2023-10-30,74,212,15,29,722
2023-10-31,72,312,9,20,737
2023-11-01,81,230,75,127,291
2023-11-02,74,331,41,28,523
2023-11-03,68,325,72,67,537
2023-11-05,75,264,58,134,399
2023-11-06,73,313,55,116,477
2023-11-07,70,299,81,92,648
2023-11-08,69,257,43,64,794
2023-11-09,75,220,0,0,778
2023-11-10,76,281,43,48,596
2023-11-11,77,213,41,118,670
2023-11-13,74,200,35,34,696
2023-11-14,75,235,14,1,727
2023-11-15,81,317,50,29,538
2023-11-16,77,238,30,32,745
2023-11-17,75,215,52,28,750
2023-11-18,77,221,62,128,232
2023-11-19,81,234,10,67,655
2023-11-20,71,291,28,29,697
2023-11-21,71,210,0,0,804
2023-11-22,79,319,61,11,618
2023-11-23,77,387,16,27,563
2023-11-24,81,287,20,5,710
2023-11-27,78,263,16,30,699
2023-11-28,78,216,10,0,792
2023-11-29,80,341,69,124,462
2023-12-02,75,215,49,107,500
2023-12-04,70,263,49,102,680
2023-12-05,78,288,10,0,728
2023-12-06,76,167,3,16,757
2023-12-07,78,239,6,7,758
2023-12-09,76,226,63,120,438
2023-12-10,86,246,73,111,440
2023-12-11,78,265,31,28,588
