date,hol_we
2024-09-05,noVALUE
2024-09-06,noVALUE
2024-09-07,WE_0
2024-09-09,noVALUE
2024-09-10,noVALUE
2024-09-11,noVALUE
2024-09-12,noVALUE
2024-09-13,noVALUE
2024-09-14,WE_0
2024-09-15,WE_0
2024-09-16,noVALUE
2024-09-17,noVALUE
2024-09-18,noVALUE
2024-09-19,noVALUE
2024-09-20,noVALUE
2024-09-23,noVALUE
2024-09-24,noVALUE
2024-09-25,noVALUE
2024-09-26,noVALUE
2024-09-27,noVALUE
2024-09-28,WE_0
2024-09-29,WE_0
2024-10-01,noVALUE
2024-10-02,noVALUE
2024-10-03,noVALUE
2024-10-04,noVALUE
2024-10-05,WE_0
2024-10-07,noVALUE
2024-10-08,noVALUE
2024-10-09,noVALUE
2024-10-10,noVALUE
2024-10-11,noVALUE
2024-10-12,WE_0
2024-10-14,noVALUE
2024-10-15,noVALUE
2024-10-16,noVALUE
2024-10-17,noVALUE
2024-10-18,noVALUE
2024-10-19,WE_0
2024-10-20,WE_0
2024-10-21,noVALUE
2024-10-22,noVALUE
2024-10-23,noVALUE
2024-10-24,noVALUE
2024-10-25,noVALUE
2024-10-26,WE_0
2024-10-27,WE_0
2024-10-28,noVALUE
2024-10-30,noVALUE
2024-10-31,noVALUE
2024-11-01,VA_0
2024-11-04,noVALUE
2024-11-05,noVALUE
2024-11-06,noVALUE
2024-11-08,noVALUE
2024-11-09,WE_0
2024-11-10,WE_0
2024-11-11,noVALUE
2024-11-12,noVALUE
2024-11-13,noVALUE
2024-11-14,noVALUE
2024-11-15,noVALUE
2024-11-16,WE_0
2024-11-17,WE_0
2024-11-18,noVALUE
2024-11-19,noVALUE
2024-11-20,noVALUE
2024-11-21,noVALUE
2024-11-22,noVALUE
2024-11-25,noVALUE
2024-11-26,noVALUE
2024-11-27,noVALUE
2024-11-28,noVALUE
2024-11-29,noVALUE
2024-12-02,noVALUE
2024-12-03,noVALUE
2024-12-04,noVALUE
2024-12-05,noVALUE
2024-12-06,noVALUE
2024-12-07,WE_0
2024-12-08,VA_0
2024-12-09,noVALUE
2024-12-10,noVALUE
2024-12-11,noVALUE
2024-12-12,noVALUE
2024-12-13,noVALUE
2024-12-14,WE_0
2024-12-15,WE_0
2024-12-16,noVALUE
2024-12-17,noVALUE
2024-12-18,noVALUE
2024-12-19,noVALUE
2024-12-20,noVALUE
2024-12-23,noVALUE
2024-12-24,noVALUE
2024-12-25,VA_0
2025-01-07,noVALUE
2025-01-08,noVALUE
2025-01-09,noVALUE
2025-01-10,noVALUE
2025-01-11,WE_0
2025-01-12,WE_0
2025-01-24,noVALUE
2025-01-25,WE_0
2025-01-26,WE_0
2025-01-27,noVALUE
2025-01-28,noVALUE
2025-01-29,noVALUE
2025-01-30,noVALUE
2025-01-31,noVALUE
2025-02-01,WE_0
2025-02-02,WE_0
2025-02-03,noVALUE
2025-02-04,noVALUE
2025-02-05,noVALUE
2025-02-06,noVALUE
2025-02-07,noVALUE
2025-02-08,WE_0
2025-02-09,WE_0
2025-02-10,noVALUE
2025-02-11,noVALUE
2025-02-12,noVALUE
2025-02-13,noVALUE
2025-02-14,noVALUE
2025-02-15,WE_0
2025-02-16,WE_0
2025-02-18,noVALUE
2025-02-19,noVALUE
2025-02-20,noVALUE
2025-02-21,noVALUE
2025-02-22,WE_0
2025-02-23,WE_0
2025-02-24,noVALUE
2025-02-25,noVALUE
2025-02-26,noVALUE
2025-02-28,noVALUE
2025-03-01,WE_0
2025-03-03,noVALUE
2025-03-04,noVALUE
2025-03-05,noVALUE
2025-03-06,noVALUE
2025-03-08,WE_0
2025-03-11,noVALUE
2025-03-12,noVALUE
2025-03-13,noVALUE
2025-03-14,noVALUE
2025-03-15,WE_0
2025-03-16,WE_0
2025-03-17,noVALUE
2025-03-18,noVALUE
2025-03-19,noVALUE
2025-03-20,noVALUE
2025-03-21,noVALUE
2025-03-22,WE_0
2025-03-23,WE_0
2025-03-25,noVALUE
2025-03-26,noVALUE
2025-03-28,noVALUE
2025-03-30,WE_0
2025-04-01,noVALUE
2025-04-02,noVALUE
2025-04-03,noVALUE
2025-04-04,noVALUE
2025-04-05,WE_0
2025-04-07,noVALUE
2025-04-08,noVALUE
2025-04-09,noVALUE
2025-04-10,noVALUE
2025-04-11,noVALUE
2025-04-12,WE_0
2025-04-14,noVALUE
2025-04-15,noVALUE
2025-04-16,noVALUE
2025-04-17,noVALUE
2025-04-18,noVALUE
2025-04-19,WE_0
2025-04-20,VA_0
2025-04-28,noVALUE
2025-04-29,noVALUE
2025-04-30,noVALUE
2025-05-01,VA_0
2025-05-05,noVALUE
2025-05-06,noVALUE
2025-05-07,noVALUE
2025-05-08,noVALUE
2025-05-09,noVALUE
2025-05-10,WE_0
2025-05-11,WE_0
2025-05-12,noVALUE
2025-05-13,noVALUE
2025-05-14,noVALUE
2025-05-15,noVALUE
2025-05-16,noVALUE
2025-05-17,WE_0
2025-05-19,noVALUE
2025-05-20,noVALUE
2025-05-22,noVALUE
2025-05-23,noVALUE
2025-05-26,noVALUE
2025-05-27,noVALUE
2025-05-28,noVALUE
2025-05-29,noVALUE
2025-05-31,WE_0
2025-06-02,VA_0
2025-06-03,noVALUE
2025-06-04,noVALUE
2025-06-05,noVALUE
2025-06-07,WE_0
2025-06-08,WE_0
2025-06-09,noVALUE
2025-06-11,noVALUE
2025-06-12,noVALUE
2025-06-13,noVALUE
2025-06-14,WE_0
2025-06-15,WE_0
2025-06-16,noVALUE
2025-06-18,noVALUE
2025-06-19,noVALUE
2025-06-20,noVALUE
2025-06-22,WE_0
2025-06-23,noVALUE
2025-06-24,noVALUE
2025-06-27,noVALUE
2025-06-28,WE_0
2025-06-29,WE_0
2025-07-02,noVALUE
2025-07-03,noVALUE
2025-07-04,noVALUE
2025-07-05,WE_0
2025-07-06,WE_0
2025-07-07,noVALUE
2025-07-08,noVALUE
2025-07-09,noVALUE
2025-07-10,noVALUE
2025-07-12,WE_0
2025-07-14,noVALUE
2025-07-15,noVALUE
2025-07-16,noVALUE
2025-07-17,noVALUE
2025-09-05,noVALUE
2025-09-06,WE_0
2025-09-07,WE_0
2025-09-08,noVALUE
2025-09-10,noVALUE
2025-09-11,noVALUE
2025-09-12,noVALUE
2025-09-13,WE_0
2025-09-14,WE_0
2025-09-15,noVALUE
2025-09-16,noVALUE
2025-09-17,noVALUE
2025-09-18,noVALUE
2025-09-19,noVALUE
2025-09-20,WE_0
2025-09-22,noVALUE
2025-09-23,noVALUE
2025-09-24,noVALUE
2025-09-25,noVALUE
2025-09-27,WE_0
2025-09-29,noVALUE
2025-09-30,noVALUE
2025-10-01,noVALUE
2025-10-02,noVALUE
2025-10-03,noVALUE
2025-10-06,noVALUE
2025-10-07,noVALUE
2025-10-08,noVALUE
2025-10-09,noVALUE
2025-10-10,noVALUE
2025-10-11,WE_0
2025-10-12,WE_0
2025-10-13,noVALUE
2025-10-14,noVALUE
2025-10-15,noVALUE
2025-10-16,noVALUE
2025-10-17,noVALUE
2025-10-18,WE_0
