date_time,heart_zone_id,total_minutes
2021-12-01T06:31,FAT_BURN,1
2021-12-01T06:32,FAT_BURN,1
2021-12-01T06:33,FAT_BURN,1
2021-12-01T06:34,FAT_BURN,1
2021-12-01T08:21,FAT_BURN,1
2021-12-01T08:22,FAT_BURN,1
2021-12-01T08:23,FAT_BURN,1
2021-12-01T08:25,FAT_BURN,1
2021-12-01T08:26,FAT_BURN,1
2021-12-01T08:27,FAT_BURN,1
2021-12-01T08:28,FAT_BURN,1
2021-12-01T08:29,FAT_BURN,1
2021-12-01T08:39,FAT_BURN,1
2021-12-01T09:00,CARDIO,2
2021-12-01T09:01,CARDIO,2
2021-12-01T09:02,CARDIO,2
2021-12-01T09:03,FAT_BURN,1
2021-12-01T09:04,FAT_BURN,1
2021-12-01T09:05,FAT_BURN,1
2021-12-01T09:07,FAT_BURN,1
2021-12-01T09:08,FAT_BURN,1
2021-12-01T09:15,FAT_BURN,1
2021-12-01T10:25,FAT_BURN,1
2021-12-02T06:50,FAT_BURN,1
2021-12-02T06:51,FAT_BURN,1
2021-12-02T06:52,CARDIO,2
2021-12-02T06:53,CARDIO,2
2021-12-02T06:54,CARDIO,2
2021-12-02T06:55,FAT_BURN,1
2021-12-02T06:56,FAT_BURN,1
2021-12-02T06:57,FAT_BURN,1
2021-12-02T06:58,FAT_BURN,1
2021-12-02T06:59,FAT_BURN,1
2021-12-02T07:00,FAT_BURN,1
2021-12-02T07:01,FAT_BURN,1
2021-12-02T07:02,FAT_BURN,1
2021-12-02T07:03,FAT_BURN,1
2021-12-02T07:26,FAT_BURN,1
2021-12-02T09:47,FAT_BURN,1
2021-12-02T09:48,FAT_BURN,1
2021-12-02T09:49,FAT_BURN,1
2021-12-02T09:50,FAT_BURN,1
2021-12-02T09:51,FAT_BURN,1
2021-12-02T09:52,FAT_BURN,1
2021-12-02T15:15,FAT_BURN,1
2021-12-02T15:16,FAT_BURN,1
2021-12-02T15:17,FAT_BURN,1
2021-12-02T15:18,FAT_BURN,1
2021-12-02T15:20,FAT_BURN,1
2021-12-02T15:21,FAT_BURN,1
2021-12-02T15:22,FAT_BURN,1
2021-12-02T15:23,FAT_BURN,1
2021-12-02T15:24,CARDIO,2
2021-12-02T15:25,CARDIO,2
2021-12-02T15:26,FAT_BURN,1
2021-12-02T15:27,FAT_BURN,1
2021-12-02T15:28,FAT_BURN,1
2021-12-02T15:29,FAT_BURN,1
2021-12-02T15:30,FAT_BURN,1
2021-12-02T15:31,FAT_BURN,1
2021-12-02T15:32,FAT_BURN,1
2021-12-02T15:33,FAT_BURN,1
2021-12-02T15:34,FAT_BURN,1
2021-12-02T15:35,FAT_BURN,1
2021-12-02T15:36,FAT_BURN,1
2021-12-02T15:38,FAT_BURN,1
2021-12-02T15:39,FAT_BURN,1
2021-12-02T20:53,FAT_BURN,1
2021-12-02T21:16,FAT_BURN,1
2021-12-02T21:17,FAT_BURN,1
2021-12-02T21:18,FAT_BURN,1
2021-12-02T21:19,FAT_BURN,1
2021-12-02T21:20,FAT_BURN,1
2021-12-02T21:21,FAT_BURN,1
2021-12-03T06:24,FAT_BURN,1
2021-12-03T06:25,FAT_BURN,1
2021-12-03T06:26,FAT_BURN,1
2021-12-03T06:27,FAT_BURN,1
2021-12-03T06:28,FAT_BURN,1
2021-12-03T07:37,FAT_BURN,1
2021-12-03T07:38,FAT_BURN,1
2021-12-03T07:39,FAT_BURN,1
2021-12-03T07:40,FAT_BURN,1
2021-12-03T07:41,FAT_BURN,1
2021-12-03T07:42,FAT_BURN,1
2021-12-03T07:43,FAT_BURN,1
2021-12-03T07:44,FAT_BURN,1
2021-12-03T07:45,FAT_BURN,1
2021-12-03T07:46,FAT_BURN,1
2021-12-03T07:47,FAT_BURN,1
2021-12-03T07:48,FAT_BURN,1
2021-12-03T07:49,FAT_BURN,1
2021-12-03T16:21,FAT_BURN,1
2021-12-03T16:54,FAT_BURN,1
2021-12-03T16:56,FAT_BURN,1
2021-12-03T17:05,FAT_BURN,1
2021-12-03T17:06,CARDIO,2
