date,sleep_quality,light,moderate,heavy,rest
2022-09-25,78,200,58,136,308
2022-09-26,74,195,28,13,723
2022-09-27,70,218,0,0,778
2022-09-28,77,415,48,44,447
2022-09-29,77,235,30,12,673
2022-09-30,72,415,44,21,533
2022-10-01,66,262,109,123,578
2022-10-03,79,302,21,57,615
2022-10-04,73,166,2,9,862
2022-10-05,78,230,144,54,566
2022-10-06,71,260,10,0,692
2022-10-07,72,332,77,36,610
2022-10-08,68,319,28,77,538
2022-10-09,66,181,86,172,505
2022-10-10,78,282,0,14,709
2022-10-11,76,225,12,27,748
2022-10-12,76,233,60,37,694
2022-10-13,77,237,44,61,592
2022-10-15,75,253,87,166,407
2022-10-15,63,253,87,166,407
2022-10-16,83,177,57,134,416
2022-10-17,78,297,24,12,635
2022-10-18,70,275,25,33,765
2022-10-20,75,212,5,9,788
2022-10-21,65,242,43,24,721
2022-10-22,75,306,45,113,318
2022-10-23,61,231,71,107,819
2022-10-24,78,227,25,0,728
2022-10-25,75,268,15,5,691
2022-10-26,78,302,0,0,787
2022-10-27,63,178,19,7,933
2022-10-28,64,327,124,52,488
2022-10-30,74,289,86,140,369
2022-10-31,60,428,46,119,623
2022-11-01,78,271,72,123,529
2022-11-02,64,357,14,50,695
2022-11-04,62,270,0,0,967
2022-11-05,70,243,97,148,506
2022-11-06,77,167,67,201,394
2022-11-07,73,357,79,32,508
2022-11-08,75,300,61,34,663
2022-11-09,64,203,104,37,674
2022-11-11,73,290,36,13,662
2022-11-12,77,236,68,143,296
2022-11-13,82,221,50,124,360
2022-11-14,74,247,20,54,709
2022-11-15,72,197,21,11,957
2022-11-16,69,188,55,26,759
2022-11-17,66,278,81,74,552
2022-11-18,70,312,13,0,720
2022-11-19,66,304,54,117,535
2022-11-21,76,276,30,35,688
2022-11-22,72,182,0,0,821
2022-11-23,77,281,29,10,723
2022-11-24,77,231,22,19,592
2022-11-25,76,275,40,28,659
2022-11-27,73,178,82,127,643
2022-11-28,72,204,0,0,859
2022-11-29,74,306,38,32,690
2022-11-30,63,267,0,0,974
2022-12-01,83,246,40,20,684
2022-12-02,67,317,39,31,713
2022-12-03,80,288,65,122,456
2022-12-04,72,264,42,93,363
2022-12-05,75,223,0,0,705
2022-12-06,70,228,70,57,784
2022-12-07,66,237,36,30,800
2022-12-08,84,260,66,123,508
2022-12-09,80,166,25,22,789
2022-12-10,76,315,67,123,416
2022-12-11,80,194,56,147,428
