date,hol_we
2022-09-25,WE_0
2022-09-26,noVALUE
2022-09-27,noVALUE
2022-09-28,noVALUE
2022-09-29,noVALUE
2022-09-30,noVALUE
2022-10-01,WE_0
2022-10-03,noVALUE
2022-10-04,noVALUE
2022-10-05,noVALUE
2022-10-06,noVALUE
2022-10-07,noVALUE
2022-10-08,WE_0
2022-10-09,WE_0
2022-10-10,noVALUE
2022-10-11,noVALUE
2022-10-12,noVALUE
2022-10-13,noVALUE
2022-10-15,WE_0
2022-10-16,WE_0
2022-10-17,noVALUE
2022-10-18,noVALUE
2022-10-20,noVALUE
2022-10-21,noVALUE
2022-10-22,WE_0
2022-10-23,WE_0
2022-10-24,noVALUE
2022-10-25,noVALUE
2022-10-26,noVALUE
2022-10-27,noVALUE
2022-10-28,noVALUE
2022-10-30,WE_0
2022-10-31,noVALUE
2022-11-01,VA_0
2022-11-02,noVALUE
2022-11-04,noVALUE
2022-11-05,WE_0
2022-11-06,WE_0
2022-11-07,noVALUE
2022-11-08,noVALUE
2022-11-09,noVALUE
2022-11-11,noVALUE
2022-11-12,WE_0
2022-11-13,WE_0
2022-11-14,noVALUE
2022-11-15,noVALUE
2022-11-16,noVALUE
2022-11-17,noVALUE
2022-11-18,noVALUE
2022-11-19,WE_0
2022-11-21,noVALUE
2022-11-22,noVALUE
2022-11-23,noVALUE
2022-11-24,noVALUE
2022-11-25,noVALUE
2022-11-27,WE_0
2022-11-28,noVALUE
2022-11-29,noVALUE
2022-11-30,noVALUE
2022-12-01,noVALUE
2022-12-02,noVALUE
2022-12-03,WE_0
2022-12-04,WE_0
2022-12-05,noVALUE
2022-12-06,noVALUE
2022-12-07,noVALUE
2022-12-08,VA_0
2022-12-09,noVALUE
2022-12-10,WE_0
2022-12-11,WE_0
2022-12-12,noVALUE
2022-12-13,noVALUE
2022-12-14,noVALUE
2022-12-15,noVALUE
2022-12-20,noVALUE
2022-12-21,noVALUE
2022-12-22,noVALUE
2022-12-23,noVALUE
2022-12-24,WE_0
2022-12-25,VA_0
2022-12-26,VA_0
2022-12-28,noVALUE
2022-12-29,noVALUE
2022-12-30,noVALUE
2022-12-31,WE_0
2023-01-01,VA_0
2023-01-02,noVALUE
2023-01-03,noVALUE
2023-01-04,noVALUE
2023-01-05,noVALUE
2023-01-09,noVALUE
2023-01-10,noVALUE
2023-01-11,noVALUE
2023-01-12,noVALUE
2023-01-13,noVALUE
2023-01-14,WE_0
2023-01-23,noVALUE
2023-01-24,noVALUE
2023-01-25,noVALUE
2023-01-26,noVALUE
2023-01-27,noVALUE
2023-01-28,WE_0
2023-01-29,WE_0
2023-01-30,noVALUE
2023-01-31,noVALUE
2023-02-01,noVALUE
2023-02-03,noVALUE
2023-02-14,noVALUE
2023-02-15,noVALUE
2023-02-16,noVALUE
2023-02-17,noVALUE
2023-02-18,WE_0
2023-02-20,noVALUE
2023-02-21,noVALUE
2023-02-22,noVALUE
2023-02-24,noVALUE
2023-02-25,WE_0
2023-02-27,noVALUE
2023-02-28,noVALUE
2023-03-01,noVALUE
2023-03-02,noVALUE
2023-03-03,noVALUE
2023-03-04,WE_0
2023-03-06,noVALUE
2023-03-07,noVALUE
2023-03-08,noVALUE
2023-03-09,noVALUE
2023-03-11,WE_0
2023-03-12,WE_0
2023-03-13,noVALUE
2023-03-14,noVALUE
2023-03-15,noVALUE
2023-03-16,noVALUE
2023-03-17,noVALUE
2023-03-18,WE_0
2023-03-19,WE_0
2023-03-20,noVALUE
2023-03-21,noVALUE
2023-03-23,noVALUE
2023-03-26,WE_0
2023-03-27,noVALUE
2023-03-28,noVALUE
2023-03-29,noVALUE
2023-03-30,noVALUE
2023-03-31,noVALUE
2023-04-03,noVALUE
2023-04-04,noVALUE
2023-04-06,noVALUE
2023-04-07,noVALUE
2023-04-08,WE_0
2023-04-11,noVALUE
2023-04-12,noVALUE
2023-04-13,noVALUE
2023-04-14,noVALUE
2023-04-15,WE_0
2023-04-17,noVALUE
2023-04-18,noVALUE
2023-04-19,noVALUE
2023-04-21,noVALUE
2023-04-24,noVALUE
2023-04-25,VA_0
2023-04-26,noVALUE
2023-04-27,noVALUE
2023-04-28,noVALUE
2023-04-29,WE_0
2023-05-01,VA_0
2023-05-02,noVALUE
2023-05-03,noVALUE
2023-05-04,noVALUE
2023-05-05,noVALUE
2023-05-06,WE_0
2023-05-08,noVALUE
2023-05-09,noVALUE
2023-05-10,noVALUE
2023-05-11,noVALUE
2023-05-12,noVALUE
2023-05-13,WE_0
2023-05-15,noVALUE
2023-05-16,noVALUE
2023-05-17,noVALUE
2023-05-18,noVALUE
2023-05-19,noVALUE
2023-05-20,WE_0
2023-05-21,WE_0
2023-05-22,noVALUE
2023-05-23,noVALUE
2023-05-25,noVALUE
2023-05-26,noVALUE
2023-05-27,WE_0
2023-05-29,noVALUE
2023-05-30,noVALUE
2023-05-31,noVALUE
2023-06-01,noVALUE
2023-06-02,VA_0
2023-06-03,WE_0
2023-06-05,noVALUE
2023-06-06,noVALUE
2023-06-07,noVALUE
2023-06-08,noVALUE
2023-06-09,noVALUE
2023-06-10,WE_0
2023-06-11,WE_0
2023-06-12,noVALUE
2023-06-13,noVALUE
2023-06-15,noVALUE
2023-06-16,noVALUE
2023-06-18,WE_0
2023-06-19,noVALUE
2023-06-20,noVALUE
2023-06-21,noVALUE
2023-06-22,noVALUE
2023-06-23,noVALUE
2023-06-26,noVALUE
2023-06-27,noVALUE
2023-06-28,noVALUE
2023-06-29,noVALUE
2023-07-01,WE_0
2023-07-03,noVALUE
2023-07-04,noVALUE
2023-07-05,noVALUE
2023-07-06,noVALUE
2023-07-07,noVALUE
2023-07-10,noVALUE
2023-07-11,noVALUE
2023-07-12,noVALUE
2023-07-13,noVALUE
2023-07-14,noVALUE
2023-07-17,noVALUE
2023-07-18,noVALUE
2023-07-19,noVALUE
2023-07-20,noVALUE
2023-07-21,noVALUE
2023-07-24,noVALUE
2023-07-25,noVALUE
2023-07-26,noVALUE
2023-07-27,noVALUE
2023-07-28,noVALUE
2023-07-29,WE_0
2023-07-30,WE_0
2023-07-31,noVALUE
2023-08-01,noVALUE
2023-08-02,noVALUE
2023-08-03,noVALUE
2023-08-04,noVALUE
2023-08-05,WE_0
2023-08-06,WE_0
2023-08-07,noVALUE
2023-08-08,noVALUE
2023-08-09,noVALUE
2023-08-10,noVALUE
2023-08-11,noVALUE
2023-08-12,WE_0
2023-08-14,noVALUE
2023-08-15,VA_0
2023-08-16,noVALUE
2023-08-17,noVALUE
2023-08-18,noVALUE
2023-08-19,WE_0
2023-08-20,WE_0
2023-08-21,noVALUE
2023-08-22,noVALUE
2023-08-23,noVALUE
2023-08-24,noVALUE
2023-08-25,noVALUE
2023-08-27,WE_0
2023-08-28,noVALUE
2023-08-29,noVALUE
2023-08-31,noVALUE
2023-09-01,noVALUE
2023-09-02,WE_0
2023-09-04,noVALUE
2023-09-05,noVALUE
2023-09-06,noVALUE
2023-09-07,noVALUE
