date_time,heart_zone_id,total_minutes
2022-07-01T07:33,FAT_BURN,1
2022-07-01T07:34,FAT_BURN,1
2022-07-01T07:35,FAT_BURN,1
2022-07-01T07:36,FAT_BURN,1
2022-07-01T13:27,FAT_BURN,1
2022-07-01T17:14,FAT_BURN,1
2022-07-01T17:15,FAT_BURN,1
2022-07-01T17:16,FAT_BURN,1
2022-07-01T17:18,FAT_BURN,1
2022-07-01T17:19,FAT_BURN,1
2022-07-01T17:20,FAT_BURN,1
2022-07-01T17:21,FAT_BURN,1
2022-07-02T16:24,FAT_BURN,1
2022-07-02T22:17,FAT_BURN,1
2022-07-02T22:44,FAT_BURN,1
2022-07-02T22:45,FAT_BURN,1
2022-07-02T22:46,FAT_BURN,1
2022-07-02T22:47,FAT_BURN,1
2022-07-02T22:48,FAT_BURN,1
2022-07-02T23:04,FAT_BURN,1
2022-07-02T23:05,FAT_BURN,1
2022-07-02T23:06,FAT_BURN,1
2022-07-02T23:07,FAT_BURN,1
2022-07-02T23:08,FAT_BURN,1
2022-07-02T23:25,FAT_BURN,1
2022-07-02T23:26,CARDIO,2
2022-07-02T23:27,CARDIO,2
2022-07-02T23:28,FAT_BURN,1
2022-07-02T23:30,FAT_BURN,1
2022-07-02T23:31,FAT_BURN,1
2022-07-02T23:32,FAT_BURN,1
2022-07-02T23:45,FAT_BURN,1
2022-07-02T23:46,FAT_BURN,1
2022-07-02T23:47,FAT_BURN,1
2022-07-02T23:48,FAT_BURN,1
2022-07-02T23:51,FAT_BURN,1
2022-07-02T23:52,FAT_BURN,1
2022-07-02T23:53,FAT_BURN,1
2022-07-02T23:54,FAT_BURN,1
2022-07-02T23:55,FAT_BURN,1
2022-07-03T10:43,FAT_BURN,1
2022-07-03T10:44,FAT_BURN,1
2022-07-03T10:45,FAT_BURN,1
2022-07-03T13:34,FAT_BURN,1
2022-07-03T13:35,FAT_BURN,1
2022-07-03T13:36,FAT_BURN,1
2022-07-03T13:37,FAT_BURN,1
2022-07-03T18:25,FAT_BURN,1
2022-07-03T18:26,FAT_BURN,1
2022-07-03T18:27,FAT_BURN,1
2022-07-03T18:28,FAT_BURN,1
2022-07-03T18:29,FAT_BURN,1
2022-07-03T18:30,FAT_BURN,1
2022-07-03T18:31,FAT_BURN,1
2022-07-03T20:51,FAT_BURN,1
2022-07-04T18:23,FAT_BURN,1
2022-07-05T14:17,FAT_BURN,1
2022-07-06T13:03,FAT_BURN,1
2022-07-06T14:11,FAT_BURN,1
2022-07-06T22:53,FAT_BURN,1
2022-07-06T22:54,FAT_BURN,1
2022-07-06T22:55,FAT_BURN,1
2022-07-08T14:55,FAT_BURN,1
2022-07-08T14:56,FAT_BURN,1
2022-07-08T14:57,FAT_BURN,1
2022-07-08T14:58,FAT_BURN,1
2022-07-08T14:59,FAT_BURN,1
2022-07-08T15:00,FAT_BURN,1
2022-07-08T15:10,FAT_BURN,1
2022-07-08T15:11,FAT_BURN,1
2022-07-08T15:12,FAT_BURN,1
2022-07-08T15:13,FAT_BURN,1
