date,sleep_quality,light,moderate,heavy,rest
2025-04-27,80,350,7,3,557
2025-04-28,83,271,29,33,632
2025-04-29,73,276,32,41,658
2025-05-02,80,47,17,20,839
2025-05-04,82,231,0,0,681
2025-05-05,74,304,23,35,696
2025-05-06,77,208,11,22,769
2025-05-07,81,139,44,39,757
2025-05-09,81,133,44,34,837
2025-05-12,71,167,35,39,844
2025-05-13,75,218,53,56,649
2025-05-14,74,192,9,2,788
2025-05-17,88,125,0,0,621
2025-05-18,87,375,0,0,469
2025-05-19,74,235,16,29,758
2025-05-20,86,219,28,45,667
2025-05-21,82,169,29,30,503
2025-05-22,81,181,36,35,657
2025-05-23,77,136,52,49,449
2025-05-27,76,269,27,45,625
2025-05-28,79,204,43,14,762
2025-05-29,70,247,23,39,690
2025-05-30,83,179,26,17,603
2025-06-01,64,358,16,4,580
2025-06-05,80,254,37,30,493
2025-06-06,74,254,6,11,710
2025-06-07,79,291,66,55,563
2025-06-08,76,320,95,106,378
2025-06-09,70,299,8,2,766
2025-06-10,84,182,16,41,721
2025-06-11,79,151,17,30,781
2025-06-12,79,154,15,20,783
2025-06-13,75,129,31,32,655
2025-06-18,69,243,35,40,687
2025-06-18,69,243,35,40,687
2025-06-19,87,171,27,21,589
2025-06-21,77,299,0,13,565
2025-06-25,81,210,37,28,654
2025-06-26,43,218,22,19,853
2025-06-29,80,293,0,0,469
2025-07-03,85,252,6,5,689
2025-07-04,79,162,0,0,761
2025-07-07,67,239,26,18,756
2025-07-08,79,249,30,55,629
2025-07-09,83,262,34,57,642
2025-07-10,82,241,40,57,614
2025-07-12,65,338,0,0,713
2025-07-13,69,262,0,0,654
2025-07-14,84,257,14,19,632
2025-07-15,80,198,21,20,756
2025-07-16,80,289,11,22,617
2025-07-19,76,139,5,10,726
2025-07-31,74,228,65,102,455
2025-08-01,85,397,19,4,387
2025-08-04,79,155,25,36,705
2025-08-06,77,253,21,44,549
2025-08-07,79,255,6,13,572
2025-08-09,75,214,6,6,821
2025-08-12,79,15,0,0,905
2025-08-18,80,237,30,36,578
2025-08-21,82,242,25,28,595
2025-08-26,85,173,48,46,655
2025-08-29,79,247,20,21,687
2025-08-30,87,443,4,12,483
2025-08-31,82,340,19,4,559
2025-09-02,84,230,0,0,703
2025-09-03,88,122,40,51,608
2025-09-05,83,198,54,47,609
2025-09-10,79,196,26,24,726
2025-09-11,84,190,27,34,657
2025-09-12,80,193,38,38,701
2025-09-13,86,404,19,16,411
2025-09-14,86,189,0,0,560
2025-09-15,81,154,50,43,748
2025-09-18,76,292,18,31,630
2025-09-19,79,218,42,21,709
2025-09-22,63,246,49,67,745
2025-09-23,82,251,10,23,631
2025-09-29,75,165,64,62,686
2025-10-01,83,225,9,19,615
2025-10-02,83,266,24,28,641
2025-10-03,87,211,5,16,723
2025-10-04,88,197,0,0,552
2025-10-08,86,218,22,30,668
2025-10-09,81,268,39,36,389
2025-10-11,73,267,15,12,302
2025-10-13,77,166,28,31,613
2025-10-14,82,255,30,34,659
2025-10-15,78,197,52,59,497
