date,sleep_quality,light,moderate,heavy,rest
2022-11-16,81,231,64,37,640
2022-11-17,83,328,87,46,501
2022-11-18,76,226,79,54,619
2022-11-20,89,305,47,4,532
2022-11-21,80,188,107,51,626
2022-11-22,84,46,16,15,882
2022-11-23,83,198,65,33,640
2022-11-24,76,287,89,33,546
2022-11-25,85,258,90,48,582
2022-11-26,84,305,10,4,614
2022-11-27,85,287,0,0,530
2022-11-29,88,145,68,62,693
2022-11-30,80,212,70,52,639
2022-12-01,79,202,85,37,649
2022-12-02,77,198,60,51,643
2022-12-03,79,315,0,0,497
2022-12-04,80,200,0,0,696
2022-12-05,76,120,71,82,652
2022-12-07,77,160,106,54,673
2022-12-08,88,239,0,0,610
2022-12-09,81,250,63,53,568
2022-12-10,79,271,0,0,650
2022-12-12,84,32,25,22,854
2022-12-13,83,188,56,39,647
2022-12-15,82,377,40,42,472
2022-12-16,85,252,50,34,594
2022-12-18,88,287,0,0,573
2022-12-19,79,230,97,38,566
2022-12-20,89,323,77,43,465
2022-12-21,80,240,76,45,568
2022-12-22,81,201,82,29,635
2022-12-23,85,252,78,37,533
2022-12-24,87,456,0,0,346
2022-12-25,73,269,0,0,617
2022-12-26,84,181,0,0,725
2022-12-28,78,267,0,0,616
2022-12-29,81,328,28,19,607
2022-12-30,83,191,0,0,782
2022-12-31,85,352,0,0,551
2023-01-01,79,258,0,0,671
2023-01-02,82,249,0,0,649
2023-01-03,69,164,55,18,616
2023-01-04,82,182,55,27,686
2023-01-05,78,287,0,0,600
2023-01-06,82,206,0,0,640
2023-01-07,80,192,0,0,737
2023-01-09,86,259,61,46,558
2023-01-10,72,223,12,6,681
2023-01-11,83,228,87,34,584
2023-01-12,84,279,91,55,512
2023-01-13,80,221,83,49,573
2023-01-14,91,341,0,0,527
2023-01-15,83,189,0,0,624
2023-01-16,75,207,83,59,626
2023-01-17,84,235,67,36,583
2023-01-18,84,171,96,53,562
2023-01-19,83,312,40,34,563
2023-01-20,77,250,0,0,632
2023-01-21,82,275,8,0,551
2023-01-22,83,258,0,0,610
2023-01-23,75,218,55,17,672
2023-01-24,82,152,42,19,722
2023-01-25,78,212,73,40,626
2023-01-26,80,278,43,22,588
2023-01-27,82,254,31,29,650
2023-01-28,86,294,0,0,573
2023-01-29,86,333,0,0,531
2023-01-30,76,241,55,41,637
