date,anomalies
2021-12-24,N_0
2021-12-18,N_0
2021-12-16,N_0
2021-12-13,N_0
2021-12-12,N_0
2021-12-11,N_0
2021-12-10,N_0
2021-12-09,N_0
2021-12-08,N_0
2021-12-07,N_0
2021-11-28,N_0
2021-11-27,N_0
2021-11-26,N_0
2021-11-25,N_0
2021-11-24,N_0
2021-11-23,N_0
2021-11-22,AN_0
2021-11-21,AN_0
2021-11-20,AN_0
2021-11-19,AN_0
2021-11-18,AN_0
2021-11-17,AN_0
2021-11-09,AN_0
2021-11-08,AN_0
2021-11-06,AN_0
2021-11-05,AN_0
2021-11-01,AN_0
2021-10-31,AN_0
2021-10-30,AN_0
2021-10-27,AN_0
2021-10-25,AN_0
2021-10-18,AN_0
2021-10-14,AN_0
